Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2021-05-02 18:00:00,56595.20000000,56968.56000000,56317.59000000,56836.40000000,5016.93196100,2021-05-02 21:59:59,284437324.93727480,199681,2515.93021400,142645392.23121756,0
2021-05-02 22:00:00,56836.39000000,57141.05000000,56212.00000000,56578.21000000,5293.14934100,2021-05-03 01:59:59,300066462.58423167,208197,2583.12568700,146460417.79172221,0
2021-05-03 02:00:00,56578.21000000,58289.99000000,56525.00000000,57925.80000000,9396.29102900,2021-05-03 05:59:59,542693379.02613510,279773,4610.23164200,266235522.66924911,0
2021-05-03 06:00:00,57925.79000000,58848.00000000,57696.70000000,58787.87000000,9346.97225500,2021-05-03 09:59:59,543800680.54662525,329460,4986.29893800,290074814.28164689,0
2021-05-03 10:00:00,58787.88000000,58981.44000000,58277.12000000,58657.63000000,9368.15432300,2021-05-03 13:59:59,549203194.28153388,304558,4666.71308900,273539580.80967628,0
2021-05-03 14:00:00,58657.64000000,58770.00000000,57260.00000000,57601.83000000,11235.73369200,2021-05-03 17:59:59,651939272.21114628,418051,5275.10778100,306143285.90903904,0
2021-05-03 18:00:00,57603.33000000,58170.00000000,57169.00000000,57564.87000000,8767.24339500,2021-05-03 21:59:59,506079147.94931827,368455,4397.90150300,253895069.02012249,0
2021-05-03 22:00:00,57564.86000000,57575.05000000,56435.00000000,57169.39000000,9535.53659200,2021-05-04 01:59:59,543888868.61262199,401831,4599.80258000,262397901.46853088,0
2021-05-04 02:00:00,57169.39000000,57200.00000000,54580.00000000,55452.17000000,16977.89823100,2021-05-04 05:59:59,947232608.16986787,488126,7869.56880600,439395159.29738954,0
2021-05-04 06:00:00,55452.16000000,56361.82000000,55122.00000000,55917.97000000,8518.87125400,2021-05-04 09:59:59,476542730.12322795,249000,4284.06532100,239628879.64088518,0
2021-05-04 10:00:00,55917.98000000,56637.89000000,55555.00000000,56143.42000000,10623.43390600,2021-05-04 13:59:59,595991793.64621570,325747,5059.24306100,283809765.64976877,0
2021-05-04 14:00:00,56143.43000000,56321.18000000,53526.00000000,53799.33000000,25558.30939400,2021-05-04 17:59:59,1406777206.37342754,677402,12110.72140000,666804267.16731655,0
2021-05-04 18:00:00,53802.54000000,54745.81000000,53201.01000000,54541.13000000,15002.09730000,2021-05-04 21:59:59,810866430.74535444,454309,7490.97850300,404918943.68987686,0
2021-05-04 22:00:00,54539.73000000,54824.00000000,53046.69000000,53200.01000000,8644.01581800,2021-05-05 01:59:59,467991295.24288166,298045,4215.11115500,228237488.36951295,0
2021-05-05 02:00:00,53205.05000000,55415.83000000,52900.00000000,54795.19000000,13128.37786600,2021-05-05 05:59:59,717224034.88189091,367381,6334.55782100,346188146.33025625,0
2021-05-05 06:00:00,54798.87000000,55285.71000000,53922.84000000,54858.35000000,10080.01401100,2021-05-05 09:59:59,550312273.46262819,296409,4918.51871000,268516761.41908418,0
2021-05-05 10:00:00,54858.35000000,55809.24000000,54679.13000000,55108.95000000,9957.73314100,2021-05-05 13:59:59,550188146.83796788,327520,4932.63144100,272567853.13933429,0
2021-05-05 14:00:00,55108.95000000,57712.06000000,55032.65000000,57636.74000000,19336.62196000,2021-05-05 17:59:59,1091247178.63543420,543966,10003.84124500,564550971.93861163,0
2021-05-05 18:00:00,57635.89000000,58069.82000000,57043.00000000,57136.04000000,14748.36754900,2021-05-05 21:59:59,847800526.07035082,469674,7479.26091200,430003880.97569409,0
2021-05-05 22:00:00,57136.04000000,57619.86000000,56576.04000000,57436.11000000,10012.80891200,2021-05-06 01:59:59,571222136.26316444,373169,5060.66488700,288711897.97429622,0
2021-05-06 02:00:00,57436.11000000,57570.00000000,56570.66000000,56797.09000000,9957.85137700,2021-05-06 05:59:59,567332324.57681901,332375,4764.29597900,271460912.13631813,0
2021-05-06 06:00:00,56797.09000000,57568.42000000,56331.66000000,56814.79000000,9411.58230500,2021-05-06 09:59:59,535763969.24281500,348061,4731.19867200,269326163.13315784,0
2021-05-06 10:00:00,56814.79000000,58360.00000000,56772.75000000,57988.00000000,12460.66657000,2021-05-06 13:59:59,718258004.34570188,382199,6640.88569900,382870227.86191094,0
2021-05-06 14:00:00,57988.00000000,58099.00000000,56763.00000000,57088.49000000,12092.18850300,2021-05-06 17:59:59,693195512.37298476,421346,5798.05894500,332437450.82944625,0
2021-05-06 18:00:00,57088.48000000,57475.00000000,55200.00000000,56128.42000000,17181.90826300,2021-05-06 21:59:59,967633010.23269393,631771,8052.11237200,453586812.41447770,0
2021-05-06 22:00:00,56128.42000000,56794.40000000,55674.13000000,56393.68000000,9077.47489000,2021-05-07 01:59:59,510106706.96608282,344129,4262.34797600,239528715.31670559,0
2021-05-07 02:00:00,56393.68000000,57122.17000000,55476.74000000,55705.67000000,13216.07946100,2021-05-07 05:59:59,742260615.90334061,430607,6229.43094100,349892292.95822512,0
2021-05-07 06:00:00,55705.67000000,56280.88000000,55241.63000000,55766.34000000,9694.86786100,2021-05-07 09:59:59,541389192.36007348,299593,4919.74625000,274731005.40316165,0
2021-05-07 10:00:00,55766.33000000,56784.00000000,55570.35000000,56464.74000000,10430.29368200,2021-05-07 13:59:59,586931047.55265862,326935,5257.91933700,295828294.37185503,0
2021-05-07 14:00:00,56464.74000000,57680.00000000,56228.24000000,57519.24000000,14789.91973200,2021-05-07 17:59:59,844603217.81099758,466203,7324.44867400,418282605.49179981,0
2021-05-07 18:00:00,57519.25000000,58650.00000000,57132.65000000,57584.01000000,15968.62803300,2021-05-07 21:59:59,925244409.56585459,481485,8134.27271300,471414632.52122278,0
2021-05-07 22:00:00,57584.01000000,58074.31000000,56749.75000000,57314.75000000,10442.95906000,2021-05-08 01:59:59,598946004.28184746,356869,5011.78465100,287460566.48349269,0
2021-05-08 02:00:00,57315.49000000,58400.00000000,56900.00000000,58099.98000000,9205.85190900,2021-05-08 05:59:59,531794266.27906708,378389,4506.85264100,260387434.22874705,0
2021-05-08 06:00:00,58099.86000000,58599.99000000,57500.00000000,58463.06000000,9129.56824000,2021-05-08 09:59:59,529824644.93116828,310360,4532.37273000,263070524.12837307,0
2021-05-08 10:00:00,58463.06000000,59379.26000000,58305.00000000,58556.09000000,13405.42534700,2021-05-08 13:59:59,789102453.48583365,467964,6910.47464000,406811943.74536843,0
2021-05-08 14:00:00,58556.09000000,59438.64000000,57472.95000000,57599.87000000,16338.47391400,2021-05-08 17:59:59,958534481.06518546,421401,7914.51885900,464401552.44523972,0
2021-05-08 18:00:00,57599.86000000,59300.00000000,57560.63000000,59030.56000000,13538.22210600,2021-05-08 21:59:59,793899977.56373596,421712,6590.93684400,386616451.96210540,0
2021-05-08 22:00:00,59030.56000000,59500.00000000,58466.00000000,58862.05000000,8092.36451200,2021-05-09 01:59:59,476398008.66307394,311552,3874.54344200,228154716.07907155,0
2021-05-09 02:00:00,58866.53000000,59300.00000000,58325.09000000,58632.78000000,11973.23696100,2021-05-09 05:59:59,703648240.64782416,368736,6405.32338400,376431762.09879512,0
2021-05-09 06:00:00,58635.72000000,58974.91000000,57575.00000000,57965.59000000,16054.30340800,2021-05-09 09:59:59,935047521.00200861,475419,7752.35889700,451731330.69744528,0
2021-05-09 10:00:00,57965.59000000,58400.00000000,57535.61000000,57907.49000000,9774.47663000,2021-05-09 13:59:59,566633935.04358389,310211,4690.57100800,271931597.34796795,0
2021-05-09 14:00:00,57907.49000000,58000.00000000,56235.66000000,57379.58000000,15021.12640200,2021-05-09 17:59:59,858128668.68728731,452934,7064.12359400,403687035.24567372,0
2021-05-09 18:00:00,57379.58000000,57883.11000000,57048.96000000,57266.97000000,8143.73278200,2021-05-09 21:59:59,467740253.06168618,275740,3926.42290400,225539232.23344119,0
2021-05-09 22:00:00,57266.97000000,58439.70000000,57179.18000000,58240.84000000,8839.24372700,2021-05-10 01:59:59,512354083.06420851,287099,4462.25067000,258638584.31685868,0
2021-05-10 02:00:00,58240.83000000,59444.90000000,58009.96000000,59356.76000000,10905.20852400,2021-05-10 05:59:59,641705754.23041695,326093,5627.65561400,331258941.25684194,0
2021-05-10 06:00:00,59356.77000000,59500.00000000,58355.79000000,58370.17000000,9885.99987900,2021-05-10 09:59:59,583293798.17765313,296005,5027.85483900,296743966.56803520,0
2021-05-10 10:00:00,58370.17000000,58593.79000000,57301.81000000,58070.63000000,12483.08317500,2021-05-10 13:59:59,724056456.51411466,402201,6106.48683700,354240180.91726155,0
2021-05-10 14:00:00,58070.63000000,58320.00000000,56700.00000000,58296.36000000,16492.41199600,2021-05-10 17:59:59,949081568.31041265,428786,7726.14666400,444738556.06966354,0
2021-05-10 18:00:00,58296.35000000,58593.70000000,55516.85000000,55733.76000000,18984.73670000,2021-05-10 21:59:59,1082376837.31550291,504590,8591.28614800,489791725.45229085,0
2021-05-10 22:00:00,55733.76000000,56269.89000000,53400.00000000,55816.14000000,20834.90897600,2021-05-11 01:59:59,1151268225.41803706,617744,9978.54692700,551428127.70347858,0
2021-05-11 02:00:00,55816.14000000,56435.48000000,54370.00000000,55142.46000000,14287.87901500,2021-05-11 05:59:59,791264540.46217688,363704,6771.97976700,375012852.32151155,0
2021-05-11 06:00:00,55142.44000000,55846.90000000,54589.00000000,55740.09000000,9500.41961300,2021-05-11 09:59:59,525424940.08701259,268330,4587.67673000,253744256.63825575,0
2021-05-11 10:00:00,55737.89000000,56190.00000000,55125.71000000,55210.47000000,11000.37109800,2021-05-11 13:59:59,612323289.76509382,334264,5274.42477100,293587350.74813028,0
2021-05-11 14:00:00,55210.47000000,56176.00000000,54766.44000000,56052.82000000,13895.31508900,2021-05-11 17:59:59,771313320.58539471,406443,6658.02809100,369516248.40417447,0
2021-05-11 18:00:00,56052.83000000,56850.00000000,55750.00000000,56608.94000000,9622.53391700,2021-05-11 21:59:59,541964988.00901571,304582,4606.43255700,259493698.85438360,0
2021-05-11 22:00:00,56608.93000000,56862.43000000,56168.98000000,56670.02000000,6023.02181800,2021-05-12 01:59:59,340739575.85432533,234157,2982.28642300,168721181.25717787,0
2021-05-12 02:00:00,56670.02000000,57872.18000000,56555.12000000,57756.94000000,10732.22956200,2021-05-12 05:59:59,613694000.07234405,332661,5339.26779900,305306805.89176304,0
2021-05-12 06:00:00,57756.95000000,58000.01000000,56882.00000000,57101.07000000,9083.45978400,2021-05-12 09:59:59,520822449.55120672,259702,4666.82653300,267597952.05827977,0
2021-05-12 10:00:00,57101.08000000,57195.50000000,55950.45000000,56421.46000000,12121.89404700,2021-05-12 13:59:59,685336701.60191649,328328,6212.32537600,351248608.92984503,0
2021-05-12 14:00:00,56421.45000000,56900.00000000,55232.56000000,55479.13000000,16223.01585100,2021-05-12 17:59:59,910401035.96840495,422492,8230.77806800,461929910.05695895,0
2021-05-12 18:00:00,55479.13000000,55677.31000000,53500.00000000,54432.39000000,20363.45905800,2021-05-12 21:59:59,1110400840.59341409,542201,9713.41686200,529660490.02410944,0
2021-05-12 22:00:00,54437.00000000,54751.92000000,48600.00000000,49631.32000000,31318.73153400,2021-05-13 01:59:59,1635460065.32318161,791442,14137.21136300,739153879.13162092,0
2021-05-13 02:00:00,49537.15000000,50829.98000000,46000.00000000,50461.99000000,42786.02688400,2021-05-13 05:59:59,2122372199.70102596,939750,20155.06363600,1000640094.87726379,0
2021-05-13 06:00:00,50461.99000000,51367.19000000,50282.00000000,50879.72000000,16124.77399100,2021-05-13 09:59:59,820864523.19492579,423501,7910.33541100,402632248.87144006,0
